userID,itemID,prediction
31233,21596,0.0
22721,31702,0.0
33799,18498,0.0
35553,2394,0.0
21718,10958,0.0
45860,10473,0.0
10386,23516,0.0
12534,12911,0.0
13370,8374,0.0
43627,20028,0.0
16838,550,0.0
31202,17193,0.0
37127,9262,0.0
38717,28400,3.0
34396,3519,2.0
35415,26273,4.0
22988,20150,3.0
40619,2646,0.0
20846,15991,0.0
46017,13951,0.0
44697,22668,0.0
21753,11188,0.0
17223,4402,0.0
7624,11251,0.0
15934,5838,0.0
39815,31701,0.0
34210,24051,0.0
32172,16403,0.0
40170,22085,0.0
33381,12809,0.0
606,637,0.0
34124,4049,0.0
16799,19043,0.0
32353,11294,0.0
41268,17317,0.0
25923,11111,0.0
40038,16716,0.0
18919,17193,0.0
4003,15382,0.0
28964,2924,0.0
7126,18610,0.0
2185,26503,0.0
39120,10315,0.0
21790,2831,0.0
4372,14340,0.0
30797,3438,0.0
40866,18350,0.0
38385,15036,0.0
37685,2627,0.0
7386,18630,0.0
40379,32079,0.0
5020,23050,0.0
27055,4374,0.0
33246,8463,4.0
37463,27649,0.0
19146,10685,1.0
9372,6024,0.0
5328,24641,3.0
28417,13365,1.0
34489,11220,3.0
23302,29657,0.0
29104,20164,3.0
5890,27061,0.0
13335,15357,0.0
7381,19649,0.0
25690,3678,2.0
9238,32033,0.0
44810,25926,0.0
6801,26195,0.0
9382,4935,0.0
24210,11088,0.0
19435,8895,0.0
41580,2025,0.0
14461,29433,2.0
43061,30712,0.0
17295,29186,0.0
22511,21643,0.0
5702,20968,0.0
41621,2551,0.0
24124,23610,0.0
34315,31594,0.0
39637,18630,0.0
8180,19281,0.0
16243,4085,0.0
25462,23835,0.0
28449,25786,0.0
44554,10409,0.0
27910,7324,1.0
21248,20968,0.0
39159,15950,0.0
45352,21387,0.0
23293,4033,0.0
10778,1970,0.0
15351,11597,0.0
3161,27307,0.0
39917,21980,0.0
17044,29657,0.0
3937,732,0.0
22699,637,0.0
36638,25349,1.0
22719,1719,0.0
41069,20748,4.0
9494,6197,0.0
2049,32349,0.0
30513,8116,0.0
38824,31224,0.0
31351,32148,0.0
39491,31849,0.0
7806,5221,1.0
26475,13999,0.0
18660,15483,0.0
22296,16971,0.0
9699,24269,0.0
32588,7997,0.0
27953,6984,0.0
8994,19267,4.0
41368,24145,0.0
24372,27560,0.0
6946,7125,0.0
4677,13459,0.0
24676,10033,0.0
35607,26632,0.0
33870,14005,0.0
27342,30445,0.0
31855,1143,1.0
28077,18630,0.0
21158,27849,0.0
8016,5577,0.0
30960,387,0.0
4153,4432,0.0
45598,31073,0.0
22679,13274,0.0
14862,2480,0.0
7395,20769,0.0
28922,5654,0.0
34459,11847,0.0
34631,18630,0.0
17079,31683,0.0
8068,4869,0.0
37691,24017,0.0
36334,2386,0.0
41039,11928,0.0
4703,29657,0.0
37684,26645,0.0
30746,8184,0.0
27487,12528,0.0
6093,12747,0.0
18203,637,0.0
439,25373,4.0
14143,14711,0.0
13465,11124,0.0
39420,20205,0.0
20848,2591,0.0
14666,24763,0.0
25327,8337,3.0
33424,22963,0.0
28735,13900,0.0
26157,30712,0.0
2436,26072,0.0
40122,18796,0.0
21157,9633,0.0
22399,9649,0.0
35668,13211,4.0
1841,24505,0.0
4676,11188,2.0
29397,20834,0.0
463,7854,0.0
39756,3805,0.0
20260,4213,0.0
14114,17749,0.0
32057,30638,0.0
38534,4400,0.0
27738,9492,0.0
20362,20333,0.0
10605,9029,0.0
13562,14291,0.0
37236,18859,0.0
40247,30331,0.0
19974,18630,4.0
33123,4193,0.0
30790,3997,0.0
38654,20789,0.0
29932,26708,0.0
44035,19384,0.0
14675,19568,0.0
17618,23840,0.0
11090,2761,0.0
30183,20266,0.0
38696,20924,0.0
30391,7244,0.0
19127,16433,0.0
28498,11124,0.0
3035,4091,0.0
42271,20515,0.0
12241,20081,0.0
36508,4066,2.0
31166,18457,0.0
35475,29526,0.0
18721,7171,0.0
14577,2517,0.0
5918,18863,0.0
42549,15423,0.0
4206,24795,0.0
34151,21690,0.0
2990,23899,0.0
12932,18912,0.0
43373,32349,0.0
43748,21690,0.0
30088,3687,2.0
36451,3687,2.0
28428,31634,0.0
7440,29116,2.0
8505,1567,2.0
22238,11251,0.0
31720,4855,0.0
25582,32051,0.0
10015,18298,0.0
40712,22262,0.0
26707,28484,0.0
3789,17645,0.0
3101,20131,0.0
35723,18630,0.0
42505,25516,0.0
2385,26468,0.0
40281,8190,0.0
5780,1782,0.0
12551,7428,0.0
16232,17458,2.0
30324,6553,0.0
40623,10299,0.0
40138,19484,0.0
32754,19140,0.0
29599,20145,3.0
32494,23874,0.0
25815,1975,0.0
19514,10434,0.0
32249,8812,4.0
16835,32007,0.0
18503,23635,0.0
34717,28177,3.0
40357,24873,0.0
10383,29524,0.0
20333,26082,0.0
1450,7296,0.0
32297,1782,0.0
6263,21145,0.0
45149,4832,0.0
